data source: https://au.investing.com/indices/us-spx-500-futures-historical-data,,,,,,
,,,,,,
Date,Price,Open,High,Low,Vol.,Change %
"Aug 01, 2002",884,909.25,911.5,879,652.04K,-3.02
"Aug 02, 2002",865,883.5,885.5,852.5,534.54K,-2.15
"Aug 05, 2002",834,865,867.75,831.5,553.38K,-3.58
"Aug 06, 2002",861,833.25,875,828.5,585.77K,3.24
"Aug 07, 2002",876,859.5,880.5,853.5,637.13K,1.74
"Aug 08, 2002",905.75,876.5,906.75,873.75,618.68K,3.4
"Aug 09, 2002",907.75,904.75,914.75,889.75,494.10K,0.22
"Aug 12, 2002",902.5,906.5,908.25,891.25,406.95K,-0.58
"Aug 13, 2002",885.25,902.5,912.25,882,576.91K,-1.91
"Aug 14, 2002",918,884.25,921.25,875.75,703.55K,3.7
"Aug 15, 2002",930.5,918.75,935.75,915.75,591.57K,1.36
"Aug 16, 2002",928,929.75,936,915,430.17K,-0.27
"Aug 19, 2002",949,928.25,952.5,921.5,427.14K,2.26
"Aug 20, 2002",939.75,948.25,949.5,931.5,473.77K,-0.97
"Aug 21, 2002",952.25,939.75,953,931,526.01K,1.33
"Aug 22, 2002",961,951.25,966,946,440.71K,0.92
"Aug 23, 2002",941,961,962.25,936.5,344.36K,-2.08
"Aug 26, 2002",947.5,940.25,951.5,929.75,458.92K,0.69
"Aug 27, 2002",936.5,947.25,956.5,929.75,510.03K,-1.16
"Aug 28, 2002",916.5,936.75,937,913,469.85K,-2.14
"Aug 29, 2002",916,916.5,925.25,902.5,476.15K,-0.05
"Aug 30, 2002",916,915.5,928.75,909,286.23K,0
"Sep 03, 2002",877.75,913.25,913.25,876,504.63K,-4.18
"Sep 04, 2002",889.75,877.25,896.75,875,613.56K,1.37
"Sep 05, 2002",883.25,890,891,869.25,644.46K,-0.73
"Sep 06, 2002",894.5,884.5,900,881.5,479.20K,1.27
"Sep 09, 2002",900.5,892.5,908,882.5,521.69K,0.67
"Sep 10, 2002",911,900.25,912.25,898.5,510.95K,1.17
"Sep 11, 2002",906,911,927.5,905.5,427.01K,-0.55
"Sep 12, 2002",889.25,906.25,908.75,884.25,72.34K,-1.85
"Sep 13, 2002",891,889,893.25,876,26.97K,0.2
"Sep 16, 2002",893,891.25,894,879,14.08K,0.22
"Sep 17, 2002",872.5,893.5,915.75,871.75,30.59K,-2.3
"Sep 18, 2002",863.75,870,879,856.75,17.74K,-1
"Sep 19, 2002",841.75,863.25,863.5,841.5,16.87K,-2.55
"Sep 20, 2002",846.24,842.75,849.5,841.25,2.12K,0.53
"Sep 23, 2002",834.5,843.5,846,824.5,596.00K,-1.39
"Sep 24, 2002",820.75,835.5,835.75,815.5,689.23K,-1.65
"Sep 25, 2002",841.25,821.75,845,810.25,715.42K,2.5
"Sep 26, 2002",854.5,842.75,857.25,837.25,700.15K,1.58
"Sep 27, 2002",825.25,853,857,824.25,620.68K,-3.42
"Sep 30, 2002",815,825.25,826,798.25,753.34K,-1.24
"Oct 01, 2002",854,816.5,854.5,810.25,746.90K,4.79
"Oct 02, 2002",830.5,853.75,854.75,823,804.72K,-2.75
"Oct 03, 2002",820.5,829,840.5,816.25,795.71K,-1.2
"Oct 04, 2002",805.75,819.75,830.25,792.25,850.51K,-1.8
"Oct 07, 2002",788.5,804.75,808.75,782,752.01K,-2.14
"Oct 08, 2002",801,788.25,810,778.5,977.75K,1.59
"Oct 09, 2002",777.75,801.5,803.5,774.5,991.69K,-2.9
"Oct 10, 2002",802.5,778.5,807.25,767.25,878.75K,3.18
"Oct 11, 2002",838.5,803,844,799.25,733.50K,4.49
"Oct 14, 2002",841.5,836.75,845,827.5,497.29K,0.36
"Oct 15, 2002",882.75,842.25,884,841.5,910.55K,4.9
"Oct 16, 2002",862.25,874.5,885.25,855.5,737.77K,-2.32
"Oct 17, 2002",879,865.5,888.75,863.5,621.77K,1.94
"Oct 18, 2002",883.25,885.5,889.5,865.75,609.52K,0.48
